,track_id,seg_id
0,1,0
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,10
10,1,11
11,1,12
12,1,13
13,1,14
14,1,15
15,1,16
16,1,17
17,1,18
18,1,19
19,1,20
20,1,21
21,1,22
22,1,23
23,1,24
24,1,25
25,1,26
26,1,27
27,1,28
28,1,29
29,1,30
30,1,31
31,1,32
32,1,33
33,1,34
34,1,35
35,1,36
36,1,37
37,1,38
38,1,39
39,1,40
40,1,41
41,1,42
42,1,43
43,1,44
44,1,45
45,1,46
46,2,7
47,2,8
48,2,9
49,2,10
50,2,11
51,2,12
52,2,13
53,2,14
54,2,15
55,2,20
56,2,21
57,2,22
58,2,23
59,2,24
60,2,25
61,2,26
62,2,27
63,2,28
64,2,29
65,2,30
66,2,31
67,2,32
68,2,33
69,2,34
70,2,35
71,4,8
72,4,9
73,4,13
74,4,14
75,4,20
76,4,21
77,4,26
78,4,28
79,4,29
80,4,30
81,4,37
82,4,38
83,4,39
84,4,40
85,4,41
86,4,42
87,4,43
88,4,44
89,5,0
90,5,1
91,5,2
92,5,3
93,5,4
94,5,5
95,5,6
96,5,7
97,5,8
98,5,9
99,5,10
100,5,11
101,5,12
102,5,13
103,5,14
104,5,15
105,5,16
106,5,17
107,5,18
108,5,19
109,5,20
110,5,21
111,5,22
112,5,23
113,5,24
114,5,25
115,5,26
116,5,27
117,5,28
118,5,29
119,5,30
120,5,31
121,5,32
122,5,33
123,5,34
124,5,35
125,5,36
126,5,37
127,5,38
128,5,39
129,5,40
130,5,41
131,5,42
132,5,43
133,5,44
134,5,45
135,5,46
136,6,3
137,6,4
138,6,5
139,6,6
140,6,7
141,6,8
142,6,9
143,6,11
144,6,12
145,6,13
146,6,14
147,6,15
148,6,16
149,6,17
150,6,18
151,6,23
152,6,24
153,6,25
154,6,26
155,6,27
156,6,28
157,6,29
158,6,30
159,6,33
160,6,34
161,6,35
162,6,36
163,6,37
164,6,38
165,6,39
166,6,40
167,6,41
168,6,45
169,6,46
170,7,1
171,7,2
172,7,3
173,7,4
174,7,5
175,7,6
176,7,7
177,7,8
178,7,9
179,7,10
180,7,11
181,7,12
182,7,13
183,7,14
184,7,15
185,7,16
186,7,17
187,7,18
188,7,19
189,7,20
190,7,21
191,7,22
192,7,23
193,7,26
194,7,27
195,7,28
196,7,29
197,7,30
198,7,31
199,7,32
200,7,33
201,7,34
202,7,35
203,7,36
204,7,37
205,7,38
206,7,39
207,7,40
208,7,41
209,7,44
210,7,45
211,7,46
212,7,47
213,8,0
214,8,1
215,8,2
216,8,3
217,8,4
218,8,5
219,8,6
220,8,7
221,8,8
222,8,9
223,8,10
224,8,11
225,8,12
226,8,13
227,8,14
228,8,15
229,8,16
230,8,17
231,8,18
232,8,19
233,8,20
234,8,21
235,8,22
236,8,23
237,8,24
238,8,25
239,8,26
240,8,27
241,8,28
242,8,29
243,8,30
244,8,31
245,8,32
246,8,33
247,8,34
248,8,35
249,8,36
250,8,37
251,8,38
252,8,39
253,8,40
254,8,41
255,8,42
256,8,43
257,8,44
258,8,45
259,8,46
260,8,47
261,8,48
262,8,49
263,8,50
264,9,14
265,9,15
266,10,0
267,10,1
268,10,2
269,10,3
270,10,4
271,10,11
272,10,12
273,10,13
274,10,17
275,10,20
276,10,24
277,10,25
278,10,26
279,10,27
280,10,28
281,10,29
282,10,32
283,10,33
284,10,34
285,11,1
286,11,2
287,11,3
288,11,4
289,11,5
290,11,6
291,11,7
292,11,8
293,11,9
294,11,10
295,11,11
296,11,12
297,11,13
298,11,14
299,11,21
300,11,22
301,11,23
302,11,25
303,11,26
304,11,27
305,11,28
306,11,29
307,11,30
308,11,31
309,11,32
310,11,33
311,11,34
312,11,35
313,11,36
314,12,0
315,12,1
316,12,2
317,12,3
318,12,4
319,12,5
320,12,6
321,12,7
322,12,8
323,12,9
324,12,10
325,12,11
326,12,12
327,12,13
328,12,14
329,12,15
330,12,16
331,12,17
332,12,18
333,12,19
334,12,20
335,12,21
336,12,22
337,12,23
338,12,24
339,12,25
340,12,26
341,12,27
342,12,28
343,12,29
344,12,30
345,12,33
346,12,34
347,12,35
348,12,36
349,12,37
350,12,38
351,12,39
352,12,40
353,12,41
354,12,43
355,12,44
356,12,45
357,12,46
358,12,47
359,12,48
360,12,49
361,12,50
362,12,51
363,12,52
364,12,53
365,12,54
366,12,55
367,12,56
368,12,57
369,12,58
370,13,11
371,13,12
372,13,13
373,13,14
374,13,15
375,13,16
376,13,17
377,13,18
378,13,19
379,13,20
380,13,21
381,13,22
382,13,23
383,13,24
384,13,25
385,13,26
386,14,1
387,14,2
388,14,3
389,14,4
390,14,5
391,14,6
392,14,7
393,14,8
394,14,9
395,14,10
396,14,11
397,14,12
398,14,13
399,14,14
400,14,15
401,14,16
402,14,17
403,14,18
404,14,24
405,14,25
406,14,26
407,14,27
408,14,28
409,14,29
410,14,30
411,14,31
412,14,32
413,14,33
414,14,34
415,14,35
416,14,36
417,14,37
418,14,38
419,14,39
420,14,40
421,14,47
422,14,48
423,14,49
424,14,50
425,14,51
426,14,52
427,15,30
428,15,31
429,15,32
430,15,33
431,15,34
432,15,35
433,15,36
434,16,3
435,16,5
436,16,6
437,16,7
438,16,9
439,16,10
440,16,11
441,16,12
442,16,13
443,16,14
444,16,15
445,16,16
446,16,17
447,16,18
448,16,19
449,16,20
450,16,21
451,16,22
452,16,23
453,16,24
454,16,25
455,16,26
456,16,27
457,16,28
458,16,29
459,16,30
460,16,31
461,17,18
462,17,19
463,17,20
464,17,21
465,17,40
466,17,43
467,17,44
468,17,45
469,17,46
470,17,47
471,17,48
472,17,49
473,17,50
474,17,51
475,17,52
476,17,53
477,17,54
478,17,55
479,17,56
480,17,57
481,17,58
482,17,59
483,17,60
484,18,35
485,18,36
486,18,37
487,18,38
488,18,39
489,18,40
490,18,41
491,18,42
492,18,43
493,18,44
494,18,45
495,18,46
496,18,47
497,18,48
498,18,49
499,18,50
500,18,51
501,18,52
502,19,2
503,19,3
504,19,4
505,19,5
506,19,7
507,19,8
508,19,9
509,19,10
510,19,11
511,19,12
512,19,13
513,19,14
514,19,15
