track_name,seg,mix_silence,drums_silence,bass_silence,guitar_silence,piano_silence,residuals_silence
Track00001,1,False,False,False,False,False,False
Track00001,2,False,False,False,False,False,False
Track00001,3,False,False,False,False,False,False
Track00001,4,False,False,False,False,False,False
Track00001,5,False,False,False,False,False,False
Track00001,6,False,False,False,False,False,False
Track00001,7,False,False,False,False,False,False
Track00001,8,False,False,False,False,False,False
Track00001,9,False,False,False,False,False,False
Track00001,10,False,False,False,False,False,False
Track00001,11,False,False,False,True,False,False
Track00001,12,False,False,False,False,False,False
Track00001,13,False,False,False,False,False,False
Track00001,14,False,False,False,False,False,False
Track00001,15,False,False,False,False,False,False
Track00001,16,False,False,False,False,False,False
Track00001,17,False,False,False,False,False,False
Track00001,18,False,False,False,False,False,False
Track00001,19,False,False,False,False,False,False
Track00001,20,False,False,False,False,False,False
Track00001,21,False,False,False,False,False,False
Track00001,22,False,False,False,False,False,False
Track00001,23,False,False,False,False,False,False
Track00001,24,False,False,False,False,False,False
Track00001,25,False,False,False,False,False,False
Track00001,26,False,False,False,False,False,False
Track00001,27,False,False,False,False,False,False
Track00001,28,False,False,False,False,False,False
Track00001,29,False,False,False,False,False,False
Track00001,30,False,False,False,False,False,False
Track00001,31,False,False,False,False,False,False
Track00001,32,False,False,False,False,False,False
Track00001,33,False,False,False,False,False,False
Track00001,34,False,False,False,False,False,False
Track00001,35,False,False,False,False,False,False
Track00001,36,False,False,False,False,False,False
Track00001,37,False,False,False,False,False,False
Track00001,38,False,False,False,False,False,False
Track00001,39,False,False,False,False,False,False
Track00001,40,False,False,False,False,False,False
Track00001,41,False,False,False,False,False,False
Track00001,42,False,False,False,False,False,False
Track00001,43,False,False,False,False,False,False
Track00001,44,False,False,False,False,False,False
Track00001,45,False,False,False,False,False,False
Track00001,46,False,False,False,False,False,False
Track00001,47,False,False,False,False,False,False
Track00001,48,False,False,False,False,False,False
Track00002,1,False,False,False,False,True,False
Track00002,2,False,False,False,False,True,False
Track00002,3,False,False,False,False,True,False
Track00002,4,False,False,False,False,True,False
Track00002,5,False,False,False,False,True,False
Track00002,6,False,False,False,True,False,False
Track00002,7,False,False,False,True,False,False
Track00002,8,False,False,False,True,False,False
Track00002,9,False,False,False,False,False,False
Track00002,10,False,False,False,False,False,False
Track00002,11,False,False,False,False,False,False
Track00002,12,False,False,False,False,False,False
Track00002,13,False,False,False,False,False,False
Track00002,14,False,False,False,False,False,False
Track00002,15,False,False,False,False,False,False
Track00002,16,False,False,False,False,False,False
Track00002,17,False,False,False,False,False,False
Track00002,18,False,False,False,True,True,False
Track00002,19,False,False,False,True,False,False
Track00002,20,False,False,False,True,False,False
Track00002,21,False,False,False,True,False,False
Track00002,22,False,False,False,False,False,False
Track00002,23,False,False,False,False,False,False
Track00002,24,False,False,False,False,False,False
Track00002,25,False,False,False,False,False,False
Track00002,26,False,False,False,False,False,False
Track00002,27,False,False,False,False,False,False
Track00002,28,False,False,False,False,False,False
Track00002,29,False,False,False,False,False,False
Track00002,30,False,False,False,True,False,False
Track00002,31,False,False,False,False,False,False
Track00002,32,False,False,False,False,False,False
Track00002,33,False,False,False,False,False,False
Track00002,34,False,False,False,False,False,False
Track00002,35,False,False,False,False,False,False
Track00002,36,False,False,False,False,False,False
Track00002,37,False,False,False,False,False,False
Track00002,38,False,False,True,True,False,False
Track00003,1,False,False,False,False,False,True
Track00003,2,False,False,False,False,False,True
Track00003,3,False,False,False,False,False,True
Track00003,4,False,False,False,False,False,True
Track00003,5,False,False,False,False,False,True
Track00003,6,False,False,False,False,False,True
Track00003,7,False,False,False,False,False,True
Track00003,8,False,False,False,False,False,True
Track00003,9,False,False,False,False,False,True
Track00003,10,False,False,False,False,False,True
Track00003,11,False,False,False,False,False,True
Track00003,12,False,False,False,False,False,True
Track00003,13,False,False,False,False,False,True
Track00003,14,False,False,False,False,False,True
Track00003,15,False,False,False,False,False,True
Track00003,16,False,False,False,False,False,True
Track00003,17,False,False,False,False,False,True
Track00003,18,False,False,False,False,False,True
Track00003,19,False,False,False,False,False,True
Track00003,20,False,False,False,False,False,True
Track00003,21,False,False,False,False,False,True
Track00003,22,False,False,False,False,False,True
Track00003,23,False,False,False,False,False,True
Track00003,24,False,False,False,False,False,True
Track00003,25,False,False,False,False,False,True
Track00003,26,False,False,False,False,False,True
Track00003,27,False,False,False,False,False,True
Track00003,28,False,False,False,False,False,True
Track00003,29,False,False,False,False,False,True
Track00003,30,False,False,False,False,False,True
Track00003,31,False,False,False,False,False,True
Track00003,32,False,False,False,False,False,True
Track00003,33,False,False,False,False,False,True
Track00003,34,False,False,False,False,False,True
Track00003,35,False,False,False,False,False,True
Track00003,36,False,False,False,False,False,True
Track00003,37,False,False,False,False,False,True
Track00003,38,False,False,False,False,False,True
Track00003,39,False,False,False,False,False,True
Track00003,40,False,False,False,False,False,True
Track00003,41,False,False,False,False,False,True
Track00003,42,False,False,False,False,False,True
Track00003,43,False,False,True,False,False,True
Track00004,1,False,False,True,True,True,False
Track00004,2,False,False,True,True,True,False
Track00004,3,False,False,False,True,True,False
