track_name,seg,mix_silence,drums_silence,bass_silence,piano_silence,guitar_silence,residuals_silence
Track00001,0,False,True,True,True,False,True
Track00001,220500,False,False,False,False,False,False
Track00001,441000,False,False,False,False,False,False
Track00001,661500,False,False,False,False,False,False
Track00001,882000,False,False,False,False,False,False
Track00001,1102500,False,False,False,False,True,False
Track00001,1323000,False,False,False,False,True,False
Track00001,1543500,False,False,False,False,True,False
Track00001,1764000,False,False,False,False,True,False
Track00001,1984500,False,False,False,False,True,False
Track00001,2205000,False,False,False,False,True,False
Track00001,2425500,False,False,False,False,False,False
Track00001,2646000,False,False,False,False,True,False
Track00001,2866500,False,False,False,False,False,False
Track00001,3087000,False,False,False,False,True,False
Track00001,3307500,False,False,False,False,True,False
Track00001,3528000,False,False,False,False,False,False
Track00001,3748500,False,False,False,False,False,False
Track00001,3969000,False,False,False,False,False,False
Track00001,4189500,False,False,False,False,True,False
Track00001,4410000,False,False,False,False,True,False
Track00001,4630500,False,False,False,False,False,False
Track00001,4851000,False,False,False,False,False,False
Track00001,5071500,False,False,False,False,False,False
Track00001,5292000,False,False,False,False,True,False
Track00001,5512500,False,False,False,False,False,False
Track00001,5733000,False,False,False,False,False,False
Track00001,5953500,False,False,False,False,False,False
Track00001,6174000,False,False,False,False,False,False
Track00001,6394500,False,False,False,False,False,False
Track00001,6615000,False,False,False,False,False,False
Track00001,6835500,False,False,False,False,True,False
Track00001,7056000,False,False,False,False,True,False
Track00001,7276500,False,False,False,False,False,False
Track00001,7497000,False,False,False,False,False,False
Track00001,7717500,False,False,False,False,False,False
Track00001,7938000,False,False,False,False,True,False
Track00001,8158500,False,False,False,False,False,False
Track00001,8379000,False,False,False,False,False,False
Track00001,8599500,False,False,False,False,False,False
Track00001,8820000,False,False,False,False,True,False
Track00001,9040500,False,False,False,False,True,False
Track00001,9261000,False,False,False,False,False,False
Track00001,9481500,False,False,False,False,True,False
Track00001,9702000,False,False,False,False,True,True
Track00001,9922500,False,False,False,False,False,True
Track00001,10143000,False,True,True,False,True,True
