track_name,seg,mix_silence,drums_silence,bass_silence,vocals_silence,other_silence
The Districts - Vermont,0,False,False,False,False,False
The Districts - Vermont,220500,False,False,False,False,False
The Districts - Vermont,441000,False,False,False,False,False
The Districts - Vermont,661500,False,False,False,False,False
The Districts - Vermont,882000,False,False,False,False,False
The Districts - Vermont,1102500,False,False,False,False,False
The Districts - Vermont,1323000,False,False,False,False,False
The Districts - Vermont,1543500,False,False,False,False,False
The Districts - Vermont,1764000,False,False,False,False,False
The Districts - Vermont,1984500,False,False,False,False,False
The Districts - Vermont,2205000,False,False,False,False,False
The Districts - Vermont,2425500,False,False,False,False,False
The Districts - Vermont,2646000,False,False,False,False,False
The Districts - Vermont,2866500,False,False,False,False,False
The Districts - Vermont,3087000,False,False,False,False,False
The Districts - Vermont,3307500,False,False,False,False,False
The Districts - Vermont,3528000,False,False,False,False,False
The Districts - Vermont,3748500,False,False,False,False,False
The Districts - Vermont,3969000,False,False,False,False,False
The Districts - Vermont,4189500,False,False,False,False,False
The Districts - Vermont,4410000,False,False,False,False,False
The Districts - Vermont,4630500,False,False,False,False,False
The Districts - Vermont,4851000,False,False,False,False,False
The Districts - Vermont,5071500,False,False,False,False,False
The Districts - Vermont,5292000,False,False,False,False,False
The Districts - Vermont,5512500,False,False,False,False,False
The Districts - Vermont,5733000,False,False,False,False,False
The Districts - Vermont,5953500,False,False,False,False,False
The Districts - Vermont,6174000,False,False,False,False,False
The Districts - Vermont,6394500,False,False,False,False,False
The Districts - Vermont,6615000,False,False,False,False,False
The Districts - Vermont,6835500,False,False,False,False,False
The Districts - Vermont,7056000,False,False,False,False,False
The Districts - Vermont,7276500,False,False,False,False,False
The Districts - Vermont,7497000,False,False,False,False,False
The Districts - Vermont,7717500,False,False,False,False,False
The Districts - Vermont,7938000,False,False,False,False,False
The Districts - Vermont,8158500,False,False,False,False,False
The Districts - Vermont,8379000,False,False,False,False,False
The Districts - Vermont,8599500,False,False,False,False,False
The Districts - Vermont,8820000,False,False,False,False,False
The Districts - Vermont,9040500,False,False,False,False,False
The Districts - Vermont,9261000,False,False,False,False,False
The Districts - Vermont,9481500,False,False,False,False,False
BigTroubles - Phantom,0,False,False,False,False,False
BigTroubles - Phantom,220500,False,False,False,False,False
BigTroubles - Phantom,441000,False,False,False,False,False
BigTroubles - Phantom,661500,False,False,False,False,False
BigTroubles - Phantom,882000,False,False,False,False,False
BigTroubles - Phantom,1102500,False,False,False,False,False
BigTroubles - Phantom,1323000,False,False,False,False,False
BigTroubles - Phantom,1543500,False,False,False,False,False
BigTroubles - Phantom,1764000,False,False,False,False,False
BigTroubles - Phantom,1984500,False,False,False,False,False
BigTroubles - Phantom,2205000,False,False,False,False,False
BigTroubles - Phantom,2425500,False,False,False,False,False
BigTroubles - Phantom,2646000,False,False,False,False,False
BigTroubles - Phantom,2866500,False,False,False,False,False
BigTroubles - Phantom,3087000,False,False,False,False,False
BigTroubles - Phantom,3307500,False,False,False,False,False
BigTroubles - Phantom,3528000,False,False,False,False,False
BigTroubles - Phantom,3748500,False,False,False,False,False
BigTroubles - Phantom,3969000,False,False,False,False,False
BigTroubles - Phantom,4189500,False,False,False,False,False
BigTroubles - Phantom,4410000,False,False,False,False,False
BigTroubles - Phantom,4630500,False,False,False,False,False
BigTroubles - Phantom,4851000,False,False,False,False,False
BigTroubles - Phantom,5071500,False,False,False,False,False
BigTroubles - Phantom,5292000,False,False,False,False,False
BigTroubles - Phantom,5512500,False,False,False,False,False
BigTroubles - Phantom,5733000,False,False,False,False,False
BigTroubles - Phantom,5953500,False,False,False,False,False
Music Delta - Rockabilly,0,False,False,False,False,False
Music Delta - Rockabilly,220500,False,False,False,False,False
Music Delta - Rockabilly,441000,False,False,False,False,False
Music Delta - Rockabilly,661500,False,False,False,False,False
Johnny Lokke - Promises & Lies,0,False,True,True,True,False
Johnny Lokke - Promises & Lies,220500,False,True,True,True,False
Johnny Lokke - Promises & Lies,441000,False,True,True,True,False
Johnny Lokke - Promises & Lies,661500,False,False,False,True,False
Johnny Lokke - Promises & Lies,882000,False,False,False,True,False
Johnny Lokke - Promises & Lies,1102500,False,False,False,True,False
Johnny Lokke - Promises & Lies,1323000,False,False,False,True,False
Johnny Lokke - Promises & Lies,1543500,False,False,False,True,False
Johnny Lokke - Promises & Lies,1764000,False,False,False,False,False
